,lat,lon,x_ew,y_ns,z_depth,slip,rake,trup,trise,sf_moment
58,-2.6299,99.3911,-80.9789,89.9073,12.9858,0.0841,120.5866,89.2,3.8,5.01e+17
59,-2.5194,99.3135,-89.607,102.1877,12.9858,0.0876,131.6856,100.0,1.9,5.22e+17
60,-4.0169,100.4718,38.9975,-64.2922,15.0,0.0007,114.8622,44.0,3.8,4370000000000000.0
61,-3.9063,100.3943,30.4055,-51.9916,15.0,0.1622,131.6468,34.4,9.5,9.66e+17
62,-3.7957,100.3167,21.8001,-39.6917,15.0,0.0354,121.8105,23.4,7.6,2.11e+17
63,-3.6852,100.2391,13.1926,-27.4037,15.0,0.4407,73.6634,12.8,7.6,2.62e+18
64,-3.5746,100.1616,4.5939,-15.1054,15.0,1.0374,100.4132,4.6,3.8,6.18e+18
65,-3.464,100.084,-4.0179,-2.8077,15.0,1.2686,110.0701,1.8,5.7,7.55e+18
66,-3.3534,100.0064,-12.6261,9.4892,15.0,0.8405,111.4349,8.4,9.5,5.01e+18
67,-3.2428,99.9289,-21.2308,21.7855,15.0,0.9821,90.4806,18.4,9.5,5.85e+18
68,-3.1323,99.8513,-29.8484,34.07,15.0,0.9298,76.8062,27.6,3.8,5.54e+18
69,-3.0217,99.7737,-38.4679,46.365,15.0,0.8735,85.1052,36.8,1.9,5.2e+18
70,-2.9111,99.6962,-47.078,58.6593,15.0,0.3694,72.0537,47.2,3.8,2.2e+18
71,-2.8005,99.6186,-55.7009,70.9531,15.0,0.1108,125.4587,60.2,9.5,6.6e+17
72,-2.69,99.541,-64.3254,83.2352,15.0,0.0106,120.1496,75.2,1.9,6.33e+16
73,-2.5794,99.4635,-72.9404,95.5279,15.0,0.2862,79.8049,88.8,7.6,1.7e+18
74,-2.4688,99.3859,-81.568,107.82,15.0,0.0923,131.4871,100.0,5.7,5.5e+17
75,-3.9663,100.5442,47.0306,-58.6694,17.0142,0.025,128.4561,48.4,9.5,1.83e+17
76,-3.8557,100.4666,38.4279,-46.3681,17.0142,0.308,126.5555,37.4,1.9,2.25e+18
